Project_name,Species,Side_landmarked,Landmarker,Specimen_number,Clade,Skull_length_mm,Postrostral_skull_length_mm,Skull_width_mm,Skull_height_mm
Potamogale_velox_UMZC_E5425F,Potamogale_velox,right,Catherine,UMZC_E5425F,Mammalia,45.3,24,20.8,12.6
Potorous_tridactylus_FMNH_57805,Potorous_tridactylus,right,Catherine,FMNH_57805,Mammalia,63.6,31.4,26.8,21.9
Procavia_capensis_I-ci-hyr,Procavia_capensis,right,Catherine,ChristineJanis,Mammalia,77.4,55.2,33.8,30
Proganochelys_quenstedtii_MB1910.45.2_left,Proganochelys_quenstedtii,left,Serjoscha,MB1910.45.2,Testudinata,133,80,111,59
Prolacerta_broomi_BPI_5375_right,Prolacerta_broomi,right,Serjoscha,BPI_5375,Archosauriformes,80.2,38,34,10
Pronolagus_rupestris_FMNH_177246,Pronolagus_rupestris,right,Catherine,FMNH_177246,Mammalia,74.4,47.3,28.8,23.6
Proterosuchus_fergusi_BSPG1934VIII514_left,Proterosuchus_fergusi,left,Serjoscha,BSPG1934VIII514,Archosauriformes,338,212,217,70
Pseudemys_floridiana_FMNH8222_left,Pseudemys_floridiana,left,Serjoscha,FMNH8222,Testudinata,33.07,28.7,25.6,14.02
Psittacus_erithacus_NHMUK_S1973.66.109,Psittacus_erithacus,left,Ethan,NHMUK_S1973.66.109,Aves,69.14,38.18,32.4127,24.4606
Rhamphastos_discolorus_NMS_Z.1931.43,Rhamphastos_discolorus,left,Ethan,NMS_Z.1931.43,Aves,115.4,33.1,29.1,23.9
Rhinoclemmys_melanosterna_FMNH44446_left,Rhinoclemmys_melanosterna,left,Serjoscha,FMNH44446,Testudinata,28.5,23.9,19.51,9.53
Rhynchocyon_petersi_NHMUK_ZD_1886.9.21.1,Rhynchocyon_petersi,right,Catherine,NHMUK_ZD_1886.9.21.1,Mammalia,63.8,31.6,28.2,17.1
Rhyncholestes_raphanurus_FMNH_27476,Rhyncholestes_raphanurus,right,Catherine,FMNH_27476,Mammalia,32.2,15.4,11.4,8.2
Rhynchotus_rufescens_NMS_Z.1890.28.9,Rhynchotus_rufescens,left,Ethan,NMS_Z.1890.28.9,Aves,110234,41773.5,30290.2,26815.5
Sagittarius_serpentarius_NHMUK_S-2016.25.1,Sagittarius_serpentarius,left,Serjoscha,NHMUK_S-2016.25.1,Aves,111.3,67,NA,NA
Salpingotulus_michaelis_UMMZ_120132,Salpingotulus_michaelis,right,Catherine,UMMZ_120132,Mammalia,14.3,9.5,13.9,6.4
Sciuropterus_sagitta_UMZC_E1499,Sciuropterus_sagitta,right,Catherine,UMZC_E1499,Mammalia,30,22.2,17.3,12.1
Scolopax_rusticola_NMS_Z.1939.30.6,Scolopax_rusticola,left,Ethan,NMS_Z.1939.30.6,Aves,94.7,20.2,20.2,24.2
Selasphorus_rufus_NMS_Z.2002.108.2,Selasphorus_rufus,left,Ethan,NMS_Z.2002.108.2,Aves,15.9,6.1,8,6.5
Siebenrockiella_crassicollis_NHMUK1894.9.2.47_left,Siebenrockiella_crassicollis,left,Serjoscha,NHMUK1894.9.2.47,Testudinata,27.74,23.8,22.96,11.97
Solenodon_paradoxus_FMNH_51068,Solenodon_paradoxus,right,Catherine,FMNH_51068,Mammalia,86.4,46.1,27.6,16.9
Sphenodon_punctatus_OUMNH908_left,Sphenodon_punctatus,left,Serjoscha,OUMNH908,Lepidosauria,55.8,41.5,43,19.6
Staurotypus_salvinii_NHMUK1879.1.7.5_left,Staurotypus_salvinii,left,Serjoscha,NHMUK1879.1.7.5,Testudinata,51.93,44,44,20.47
Steatornis_caripensis_NHMUK_S1869.6.20.1,Steatornis_caripensis,left,Ethan,NHMUK_S/1869.6.20.1,Aves,57.3,35.9,31.8,20.2
Sternotherus_minor_FMNH211696_left,Sternotherus_minor,left,Serjoscha,FMNH211696,Testudinata,32.05,25.3,26.28,14.89
Struthio_camelus_NHMUK_1927.2.5.1,Struthio_camelus,left,Ethan,NHMUK_1927.2.5.1,Aves,186,62.74,50.4135,60.4386
Tachyeres_brachypterus_NHMUK_S2004.7.1,Tachyeres_brachypterus,left,Ethan,NHMUK_S/2004.7.1,Aves,130.16,39.5,31.0999,26.5031
Taeniopygia_guttata_NHMUK_S2002.46.1,Taeniopygia_guttata,left,Ethan,NHMUK_S2002.46.1,Aves,20.22,14.7,11.24,10.3
Tamias_striatus_UMZC_E1696,Tamias_striatus,right,Catherine,UMZC_E1696,Mammalia,32,22.8,17.5,12.4
Tarsipes_rostratus_UMMZ_122547,Tarsipes_rostratus,right,Catherine,UMMZ_122547,Mammalia,24.1,13.2,10.2,6.5
Carlito_syrichta_FMNH_142007,Carlito_syrichta,right,Catherine,FMNH_142007,Mammalia,36.5,31.3,21.4,15.4
Terrapene_coahuila_FMNH47372_left,Terrapene_coahuila,left,Serjoscha,FMNH47372,Testudinata,29.52,25,19.23,11.54
Terrapene_ornata_FMNH23014_left,Terrapene_ornata,left,Serjoscha,FMNH23014,Testudinata,27.57,22.6,17.95,11
Testudo_marginata_FMNH51672_left,Testudo_marginata,left,Serjoscha,FMNH51672,Testudinata,39.4,31.4,26.63,13.41
Tomistoma_schlegelii_USNM_211322_left,Tomistoma_schlegelii,left,Serjoscha,USNM_211322,Crocodylia,781,198,NA,NA
Triopticus_primus_TMM_31100_1030_left,Triopticus_primus,left,Serjoscha,TMM_31100_1030,Archosauriformes,164,81,NA,NA
Trogon_curucui_NHMUK_S1952.2.523,Trogon_curucui,left,Ethan,NHMUK_S/1952.2.523,Aves,38.74,22.1,17.1077,12.775
Tyto_alba_NHMUK_S1981.39.1,Tyto_alba,left,Ethan,NHMUK_S_1981.39.1,Aves,60.9571,27.5864,31.3532,26.3684
Varanus_indicus_AMNH58389_left,Varanus_indicus,left,Serjoscha,AMNH58389,Lepidosauria,50.5,31,20.8,11.9
Myolis_adversus_UMZC_E5766B,Myolis_adversus,right,Catherine,UMZC_E5766B,Mammalia,14.2,8.8,8,6.2
Vombatus_ursinus_UMZC_A10.10-2,Vombatus_ursinus,right,Catherine,UMZC_K3341,Mammalia,153.8,108.5,73.1,50
Vulpes_lagopus_UMZCK3669,Vulpes_lagopus,right,Catherine,UMZC_K3669,Mammalia,122,71.8,44,41.6
Vultur_gryphus_NMS_Z.1879.8.38,Vultur_gryphus,left,Ethan,NMS_Z.1879.8.38,Aves,172,70.9,45.8302,45.2794
