Count,Specimen_name,Species_ID,Replicates_total,Replicates_endosseous,Tree_names,Tree_node_number,Ear_type,Specimen_type,Suborder,Family,Subfamily,Plotting_group,Plotting_habitat,Habitual_habitat,Habitat_general,Fossil_marine,Forelimb,Forelimb1,Forelimb2,Forelimb3,Forelimb4,Forelimb5,Forelimb6,Skull_length_mm,Skull_width_mm,Skull_height_mm,logV_mm3,Carapax_neck_ratio,Neck_length_categorical,Retraction_type,Retratction_ability
75,Galianemys_whitei_AMNH29987_right,Galianemys_whitei,1,1,Galianemys_whitei,124,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Cearachelyini,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,48.3,45.7,19.8,4.6405,NA,NA,sideways,full
76,Geoclemys_hamiltonii_NHMUK87.9.30.1_left,Geoclemys_hamiltonii,1,1,Geoclemys_hamiltonii,33,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,38.53,34.76,15.48,4.3166,51.22,long,vertical,full
77,Geoemyda_spengleri_FMNH260381_left,Geoemyda_spengleri,1,1,Geoemyda_spengleri,38,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,terrestrial,digging,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,23.92,15.53,10.32,3.5836,NA,NA,vertical,full
78,Glyptemys_insculpta_FMNH22240_left,Glyptemys_insculpta,1,1,Glyptemys_insculpta,54,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,41,33.96,14.48,4.3045,NA,NA,vertical,full
79,Glyptemys_muhlenbergii_UF85274_left,Glyptemys_muhlenbergii,1,1,Glyptemys_muhlenbergii,55,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,21.39,14.55,7.78,3.3841,NA,NA,vertical,full
80,Gopherus_agassizii_FMNH216746_left,Gopherus_agassizii,1,1,Gopherus_agassizii,51,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,digging,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,44.96,37.48,18.33,4.4898,47.02,intermediate,vertical,full
81,Gopherus_flavomarginatus_FMNH98916_left,Gopherus_flavomarginatus,1,1,Gopherus_flavomarginatus,50,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,digging,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,50.19,39.55,16.9,4.5257,42.7,intermediate,vertical,full
82,Graptemys_geographica_NHMUK55.12.6.11_left,Graptemys_geographica,1,1,Graptemys_geographica,64,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,24.38,16.69,9,3.5637,41.71,intermediate,vertical,full
83,Graptemys_pseudogeographica_SMNS3702_left_endosseous,Graptemys_pseudogeographica,2,1,Graptemys_pseudogeographica,65,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,11.9,9,5.6,2.778,NA,intermediate,vertical,full
84,Graptemys_pseudogeographica_SMNS3702_left_membranous,Graptemys_pseudogeographica,0,0,NA,65,membranous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,11.9,9,5.6,2.778,NA,intermediate,vertical,full
85,Hamadachelys_escuilliei_AMNH30644_left,Hamadachelys_escuilliei,2,2,NA,132,endosseous,fossil,Pleurodira,Pelomedusoides,stem-Podocnemididae,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,50,37.3,15.9,4.4721,NA,NA,sideways,full
86,Hamadachelys_escuilliei_MDET03_right,Hamadachelys_escuilliei,0,0,Hamadachelys_escuilliei,132,endosseous,fossil,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,67,60.6,31.5,5.1069,NA,NA,sideways,full
