Count,Specimen_name,Species_ID,Replicates_total,Replicates_endosseous,Tree_names,Tree_node_number,Ear_type,Specimen_type,Suborder,Family,Subfamily,Plotting_group,Plotting_habitat,Habitual_habitat,Habitat_general,Fossil_marine,Forelimb,Forelimb1,Forelimb2,Forelimb3,Forelimb4,Forelimb5,Forelimb6,Skull_length_mm,Skull_width_mm,Skull_height_mm,logV_mm3,Carapax_neck_ratio,Neck_length_categorical,Retraction_type,Retratction_ability
1,Adocus_lineolatus_CMM60-15_left,Adocus_lineolatus,1,1,Adocus_lineolatus,97,endosseous,fossil,Cryptodira,Trionychia,NA,Trionychia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,66.15,60.32,26.25,5.0201,38.91,intermediate,vertical,full
2,Aldabrachelys_gigantea_NHMUK77.11.12.2_left,Aldabrachelys_gigantea,1,1,Aldabrachelys_gigantea,48,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,147.78,108.43,51.79,5.919,NA,NA,vertical,full
3,Allaeochelys_libyca_BSPG1991II130_left,Allaeochelys_libyca,1,1,Allaeochelys_libyca,100,endosseous,fossil,Cryptodira,Trionychia,Carettochelyidae,Trionychia,freshwater,NA,freshwater,no,NA,NA,NA,NA,NA,NA,NA,62,46.5,25,4.8578,NA,NA,vertical,full
4,Allopleuron_hofmanni_NHMUK4213_left,Allopleuron_hofmanni,1,1,Allopleuron_hofmanni,75,endosseous,fossil,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,280,187.6,131.9,6.8406,41.67,intermediate,vertical,incomplete
5,Amyda_cartilaginea_FMNH244117_right,Amyda_cartilaginea,1,1,Amyda_cartilaginea,107,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,97.76,70.23,32.88,5.3536,100.16,extreme,vertical,full
6,Annemys_sp_IVPPV18106_right,Annemys_sp,1,1,Annemys_sp,11,endosseous,fossil,Stem,Xinjiangchelyidae,NA,Xinjiangchelyidae,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,45,38.2,14.6,4.3996,NA,NA,none,incomplete
7,Apalone_mutica_PCHP2746_left,Apalone_mutica,1,1,Apalone_mutica,105,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,60.74,39.1,18.48,4.6424,89.86,extreme,vertical,full
8,Apalone_spinifera_FMNH22178_left,Apalone_spinifera,3,2,Apalone_spinifera,106,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,65.95,41.93,22.02,4.7846,90.2,extreme,vertical,full
9,Apalone_spinifera_R12970_left_endosseous,Apalone_spinifera,0,0,NA,106,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,26.3,17.6,9.6,3.6477,90.2,extreme,vertical,full
10,Apalone_spinifera_R12970_left_membranous,Apalone_spinifera,0,0,NA,106,membranous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,26.3,17.6,9.6,3.6477,90.2,extreme,vertical,full
11,Araiochelys_hirayamai_AMNH30778_left,Araiochelys_hirayamai,1,1,Araiochelys_hirayamai,125,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Cearachelyini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,60.3,57.5,20.8,4.858,NA,NA,sideways,full
12,Araripemys_barretoi_AMNH24454_right,Araripemys_barretoi,1,1,Araripemys_barretoi,142,endosseous,fossil,Pleurodira,stem-Pelomedusoides,NA,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,42.3,36,9.6,4.1649,66.98,long,sideways,full
13,Argillochelys_antiqua_NHMUK38955_left,Argillochelys_antiqua,2,2,Argillochelys_antiqua,76,endosseous,fossil,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,55,45.3,24,4.7767,NA,NA,vertical,incomplete
14,Argillochelys_antiqua_NHMUK41636_right,Argillochelys_antiqua,0,0,NA,76,endosseous,fossil,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,90,80.5,39.8,5.4599,NA,NA,vertical,incomplete
15,Arundelemys_dardeni_USNM497740_left,Arundelemys_dardeni,1,1,Arundelemys_dardeni,8,endosseous,fossil,Stem,Paracryptodira,Baenidae,Perichelydia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,56.5,46,22.8,4.7727,NA,NA,none,incomplete
16,Australochelys_africanus_BP1_4933_right,Australochelys_africanus,1,1,Australochelys_africanus,2,endosseous,fossil,Stem,NA,NA,early-diverging,terrestrial,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,91.1,85.6,47,5.5641,NA,NA,none,incomplete
17,Axestemys_infernalis_DMNH130951_left,Axestemys_infernalis,1,1,Axestemys_infernalis,104,endosseous,fossil,Cryptodira,Trionychia,not sure,Trionychia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,147.75,119.39,45.76,5.907,NA,NA,vertical,full
18,Basilemys_gaffneyi_DMNH130986_right,Basilemys_gaffneyi,1,1,Basilemys_gaffneyi,98,endosseous,fossil,Cryptodira,Trionychia,Nanhsiungchelyidae,Trionychia,terrestrial,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,107.5,60.65,35.43,5.3636,NA,NA,vertical,full
19,Batagur_baska_NHMUK67.9.28.7_left,Batagur_baska,1,1,Batagur_baska,35,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,open_water_swimming,freshwater,NA,extensive - 3,3,3,2,2,1,1,81.21,67.65,33.51,5.2651,39.48,intermediate,vertical,full
20,Bothremys_cooki_AMNH29444_left,Bothremys_cooki,1,1,Bothremys_cooki,127,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Cearachelyini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sideways,full
21,Bothremys_maghrebiana_AMNH30234_right,Bothremys_maghrebiana,1,1,Bothremys_maghrebiana,126,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Cearachelyini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,74.3,88.9,27,5.2513,NA,NA,sideways,full
22,Bouliachelys_suteri_SAMP41106_right,Bouliachelys_suteri,1,1,Bouliachelys_suteri,72,endosseous,fossil,Cryptodira,Chelonioidea,Protostegidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,146.4,107.6,64.3,6.0056,NA,NA,vertical,incomplete
23,Caretta_caretta_IW1681_left_endosseous,Caretta_caretta,5,4,NA,79,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,16.3,14.9,8.7,3.3249,32.41,short,vertical,incomplete
24,Caretta_caretta_IW1681_left_membranous,Caretta_caretta,0,0,NA,79,membranous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,16.3,14.9,8.7,3.3249,32.41,short,vertical,incomplete
25,Caretta_caretta_NHMUK1938.1.9.1_left,Caretta_caretta,0,0,Caretta_caretta,79,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,144.7,148.49,83.16,6.2521,32.41,short,vertical,incomplete
26,Caretta_caretta_NHMUK1940.3.15.1_left,Caretta_caretta,0,0,NA,79,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,51.17,42.07,23.24,4.6992,32.41,short,vertical,incomplete
27,Caretta_caretta_XT757-07_left,Caretta_caretta,0,0,NA,79,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,60.02,51.52,23.08,4.8535,32.41,short,vertical,incomplete
28,Carettochelys_insculpta_NHMUK1903.7.10.1_left,Carettochelys_insculpta,1,1,Carettochelys_insculpta,99,endosseous,extant,Cryptodira,Trionychia,Carettochelyidae,Trionychia,freshwater,open_water_swimming,freshwater,NA,flipper - 4,4,3,3,2,1,1,103.79,81.79,35.82,5.483,39.65,intermediate,vertical,full
29,Chelodina_oblonga_NHMUK64.12.22_left,Chelodina_oblonga,1,1,Chelodina_oblonga,117,endosseous,extant,Pleurodira,Chelidae,Chelodininae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 3,3,3,2,2,1,1,51.7,30.82,10.6,4.2276,77.11,extreme,sideways,full
